,Ticker,Attribute,Recent
63,ORI,fundInceptionDate,
64,ORI,annualReportExpenseRatio,
65,ORI,totalAssets,
66,ORI,bookValue,22.6
67,ORI,sharesShort,5960840
68,ORI,sharesPercentSharesOut,0.0195
69,ORI,fundFamily,
70,ORI,lastFiscalYearEnd,1609372800
71,ORI,heldPercentInstitutions,0.75831
72,ORI,netIncomeToCommon,1584099968
73,ORI,trailingEps,5.281
74,ORI,lastDividendValue,
75,ORI,SandP52WeekChange,0.33207917
76,ORI,priceToBook,1.0134956
77,ORI,heldPercentInsiders,0.07311
78,ORI,nextFiscalYearEnd,1672444800
79,ORI,yield,
80,ORI,mostRecentQuarter,1625011200
81,ORI,shortRatio,2.96
82,ORI,sharesShortPreviousMonthDate,1628812800
83,ORI,floatShares,276896643
84,ORI,beta,0.856441
85,ORI,enterpriseValue,7829278208
86,ORI,priceHint,2
87,ORI,threeYearAverageReturn,
88,ORI,lastSplitDate,
89,ORI,lastSplitFactor,
90,ORI,legalType,
91,ORI,lastDividendDate,
92,ORI,morningStarOverallRating,
93,ORI,earningsQuarterlyGrowth,-0.204
94,ORI,priceToSalesTrailing12Months,0.7795236
95,ORI,dateShortInterest,1631664000
96,ORI,pegRatio,0.99
97,ORI,ytdReturn,
98,ORI,forwardPE,9.664557
99,ORI,lastCapGain,
100,ORI,shortPercentOfFloat,0.0198
101,ORI,sharesShortPriorMonth,3624768
102,ORI,impliedSharesOutstanding,
103,ORI,category,
104,ORI,fiveYearAverageReturn,
105,ORI,previousClose,23.28
106,ORI,regularMarketOpen,23.34
107,ORI,twoHundredDayAverage,24.673262
108,ORI,trailingAnnualDividendYield,0.03694158
109,ORI,payoutRatio,0.16290002
110,ORI,volume24Hr,
111,ORI,regularMarketDayHigh,23.435
112,ORI,navPrice,
113,ORI,averageDailyVolume10Day,1396850
114,ORI,regularMarketPreviousClose,23.28
115,ORI,fiftyDayAverage,24.991428
116,ORI,trailingAnnualDividendRate,0.86
117,ORI,open,23.34
118,ORI,toCurrency,
119,ORI,averageVolume10days,1396850
120,ORI,expireDate,
121,ORI,algorithm,
122,ORI,dividendRate,0.88
123,ORI,exDividendDate,1631577600
124,ORI,circulatingSupply,
125,ORI,startDate,
126,ORI,regularMarketDayLow,22.89
127,ORI,currency,USD
128,ORI,trailingPE,4.337247
129,ORI,regularMarketVolume,1127964
130,ORI,lastMarket,
131,ORI,maxSupply,
132,ORI,openInterest,
133,ORI,marketCap,7002928640
134,ORI,volumeAllCurrencies,
135,ORI,strikePrice,
136,ORI,averageVolume,1839378
137,ORI,dayLow,22.89
138,ORI,ask,23.03
139,ORI,askSize,900
140,ORI,volume,1127964
141,ORI,fiftyTwoWeekHigh,26.69
142,ORI,fromCurrency,
143,ORI,fiveYearAvgDividendYield,3.93
144,ORI,fiftyTwoWeekLow,14.4
145,ORI,bid,23.02
146,ORI,tradeable,False
147,ORI,dividendYield,0.0378
148,ORI,bidSize,1100
149,ORI,dayHigh,23.435
150,ORI,regularMarketPrice,22.905
151,ORI,logo_url,https://logo.clearbit.com/oldrepublic.com
152,BBVA.MC,zip,48005
153,BBVA.MC,sector,Financial Services
154,BBVA.MC,fullTimeEmployees,123174
155,BBVA.MC,longBusinessSummary,"Banco Bilbao Vizcaya Argentaria, S.A., together with its subsidiaries, provides retail banking, wholesale banking, asset management, and private banking services. It offers current accounts; and demand, savings, overnight, time, term, and subordinated deposits. The company also provides loan products; deals in securities; and manages pension funds. In addition, it offers credit cards; corporate and investment banking services; insurance products and services; and real estate services. The company provides its products through online and mobile channels. As of December 31, 2020, it operated through a network of 7,432 branches and 31, 000 ATMs in approximately 30 countries. It operates in Spain, Mexico, South America, the United States, Turkey, the Asia-Pacific, and rest of Europe. Banco Bilbao Vizcaya Argentaria, S.A. was founded in 1857 and is headquartered in Bilbao, Spain."
156,BBVA.MC,city,Bilbao
157,BBVA.MC,country,Spain
158,BBVA.MC,companyOfficers,[]
159,BBVA.MC,website,http://www.bbva.com
160,BBVA.MC,maxAge,1
161,BBVA.MC,address1,"Plaza San NicolÃ¡s, 4"
162,BBVA.MC,industry,Banks—Diversified
163,BBVA.MC,ebitdaMargins,0
164,BBVA.MC,profitMargins,0.2546
165,BBVA.MC,grossMargins,0
166,BBVA.MC,operatingCashflow,1652000000
167,BBVA.MC,revenueGrowth,0.305
168,BBVA.MC,operatingMargins,0.40755
169,BBVA.MC,ebitda,
170,BBVA.MC,targetLowPrice,4.39
171,BBVA.MC,recommendationKey,buy
172,BBVA.MC,grossProfits,15488000000
173,BBVA.MC,freeCashflow,
174,BBVA.MC,targetMedianPrice,5.95
175,BBVA.MC,currentPrice,5.687
176,BBVA.MC,earningsGrowth,0.157
177,BBVA.MC,currentRatio,
178,BBVA.MC,returnOnAssets,0.00658
179,BBVA.MC,numberOfAnalystOpinions,22
180,BBVA.MC,targetMeanPrice,5.89
181,BBVA.MC,debtToEquity,
182,BBVA.MC,returnOnEquity,0.09278
183,BBVA.MC,targetHighPrice,6.75
184,BBVA.MC,totalCash,126431002624
185,BBVA.MC,totalDebt,105997000704
186,BBVA.MC,totalRevenue,17176000512
187,BBVA.MC,totalCashPerShare,16.674
188,BBVA.MC,financialCurrency,EUR
189,BBVA.MC,revenuePerShare,2.309
190,BBVA.MC,quickRatio,
191,BBVA.MC,recommendationMean,2.5
192,BBVA.MC,exchange,MCE
193,BBVA.MC,shortName,BANCO BILBAO VIZCAYA ARGENTARIA
194,BBVA.MC,longName,"Banco Bilbao Vizcaya Argentaria, S.A."
195,BBVA.MC,exchangeTimezoneName,Europe/Madrid
196,BBVA.MC,exchangeTimezoneShortName,CEST
197,BBVA.MC,isEsgPopulated,False
198,BBVA.MC,gmtOffSetMilliseconds,7200000
199,BBVA.MC,quoteType,EQUITY
200,BBVA.MC,symbol,BBVA.MC
201,BBVA.MC,messageBoardId,finmb_199526
202,BBVA.MC,market,es_market
203,BBVA.MC,annualHoldingsTurnover,
204,BBVA.MC,enterpriseToRevenue,1.625
205,BBVA.MC,beta3Year,
206,BBVA.MC,enterpriseToEbitda,
207,BBVA.MC,52WeekChange,1.4796224
208,BBVA.MC,morningStarRiskRating,
209,BBVA.MC,forwardEps,0.6
210,BBVA.MC,revenueQuarterlyGrowth,
211,BBVA.MC,sharesOutstanding,6667890176
212,BBVA.MC,fundInceptionDate,
213,BBVA.MC,annualReportExpenseRatio,
214,BBVA.MC,totalAssets,
215,BBVA.MC,bookValue,5.871
216,BBVA.MC,sharesShort,
217,BBVA.MC,sharesPercentSharesOut,
218,BBVA.MC,fundFamily,
219,BBVA.MC,lastFiscalYearEnd,1609372800
220,BBVA.MC,heldPercentInstitutions,0.33361
221,BBVA.MC,netIncomeToCommon,3331000064
222,BBVA.MC,trailingEps,0.536
223,BBVA.MC,lastDividendValue,
224,BBVA.MC,SandP52WeekChange,0.33207917
225,BBVA.MC,priceToBook,0.9686595
226,BBVA.MC,heldPercentInsiders,0.00017999999
227,BBVA.MC,nextFiscalYearEnd,1672444800
228,BBVA.MC,yield,
229,BBVA.MC,mostRecentQuarter,1625011200
230,BBVA.MC,shortRatio,
231,BBVA.MC,sharesShortPreviousMonthDate,
232,BBVA.MC,floatShares,7498643766
233,BBVA.MC,beta,1.9561
234,BBVA.MC,enterpriseValue,27917699072
235,BBVA.MC,priceHint,2
236,BBVA.MC,threeYearAverageReturn,
237,BBVA.MC,lastSplitDate,
238,BBVA.MC,lastSplitFactor,
239,BBVA.MC,legalType,
240,BBVA.MC,lastDividendDate,
241,BBVA.MC,morningStarOverallRating,
242,BBVA.MC,earningsQuarterlyGrowth,0.104
243,BBVA.MC,priceToSalesTrailing12Months,2.2077484
244,BBVA.MC,dateShortInterest,
245,BBVA.MC,pegRatio,0.53
246,BBVA.MC,ytdReturn,
247,BBVA.MC,forwardPE,9.4783325
248,BBVA.MC,lastCapGain,
249,BBVA.MC,shortPercentOfFloat,
250,BBVA.MC,sharesShortPriorMonth,
251,BBVA.MC,impliedSharesOutstanding,
252,BBVA.MC,category,
253,BBVA.MC,fiveYearAverageReturn,
254,BBVA.MC,previousClose,5.78
255,BBVA.MC,regularMarketOpen,5.795
256,BBVA.MC,twoHundredDayAverage,5.129789
257,BBVA.MC,trailingAnnualDividendYield,0.010207612
258,BBVA.MC,payoutRatio,0.118
259,BBVA.MC,volume24Hr,
260,BBVA.MC,regularMarketDayHigh,5.83
261,BBVA.MC,navPrice,
262,BBVA.MC,averageDailyVolume10Day,30155036
263,BBVA.MC,regularMarketPreviousClose,5.78
264,BBVA.MC,fiftyDayAverage,5.6213613
265,BBVA.MC,trailingAnnualDividendRate,0.059
266,BBVA.MC,open,5.795
267,BBVA.MC,toCurrency,
268,BBVA.MC,averageVolume10days,30155036
269,BBVA.MC,expireDate,
270,BBVA.MC,algorithm,
271,BBVA.MC,dividendRate,0.06
272,BBVA.MC,exDividendDate,1619481600
273,BBVA.MC,circulatingSupply,
274,BBVA.MC,startDate,
275,BBVA.MC,regularMarketDayLow,5.684
276,BBVA.MC,currency,EUR
277,BBVA.MC,trailingPE,10.610074
278,BBVA.MC,regularMarketVolume,22088151
279,BBVA.MC,lastMarket,
280,BBVA.MC,maxSupply,
281,BBVA.MC,openInterest,
282,BBVA.MC,marketCap,37920288768
283,BBVA.MC,volumeAllCurrencies,
284,BBVA.MC,strikePrice,
285,BBVA.MC,averageVolume,18991366
286,BBVA.MC,dayLow,5.684
287,BBVA.MC,ask,5.707
288,BBVA.MC,askSize,0
289,BBVA.MC,volume,22088151
290,BBVA.MC,fiftyTwoWeekHigh,5.932
291,BBVA.MC,fromCurrency,
292,BBVA.MC,fiveYearAvgDividendYield,5.17
293,BBVA.MC,fiftyTwoWeekLow,2.183
294,BBVA.MC,bid,5.705
295,BBVA.MC,tradeable,False
296,BBVA.MC,dividendYield,0.0104
297,BBVA.MC,bidSize,0
298,BBVA.MC,dayHigh,5.83
299,BBVA.MC,regularMarketPrice,5.687
300,BBVA.MC,logo_url,https://logo.clearbit.com/bbva.com
